,date,team_1,team_2,win_1,win_2
0,2010-01-23,NAM,RUS,False,True
1,2010-02-06,IRE,ITA,True,False
2,2010-02-06,GEO,GER,True,False
3,2010-02-06,RUS,POR,True,False
4,2010-02-06,ENG,WAL,True,False
5,2010-02-07,SCO,FRA,False,True
6,2010-02-13,ROU,GER,True,False
7,2010-02-13,WAL,SCO,True,False
8,2010-02-13,POR,GEO,False,True
9,2010-02-13,ESP,RUS,False,True
10,2010-02-13,FRA,IRE,True,False
11,2010-02-14,ITA,ENG,False,True
12,2010-02-26,WAL,FRA,False,True
13,2010-02-27,ENG,IRE,False,True
14,2010-02-27,GEO,ESP,True,False
15,2010-02-27,GRE,FIN,True,False
16,2010-02-27,GER,POR,False,True
17,2010-02-27,ITA,SCO,True,False
18,2010-03-06,CYP,AZE,True,False
19,2010-03-13,ESP,POR,False,True
20,2010-03-13,RUS,GER,True,False
21,2010-03-13,GRE,LUX,True,False
22,2010-03-13,ROU,GEO,True,False
23,2010-03-13,IRE,WAL,True,False
24,2010-03-14,FRA,ITA,True,False
25,2010-03-20,GER,ESP,False,True
26,2010-03-20,WAL,ITA,True,False
27,2010-03-20,POR,ROU,False,True
28,2010-03-20,IRE,SCO,False,True
29,2010-03-20,FRA,ENG,True,False
30,2010-03-20,GEO,RUS,True,False
31,2010-03-27,ROU,ESP,True,False
32,2010-03-27,CYP,BIH,True,False
33,2010-04-03,CZE,BEL,False,True
34,2010-04-03,ARM,AND,True,False
35,2010-04-09,TUN,AER,True,False
36,2010-04-10,ARM,SRB,True,False
37,2010-04-10,CZE,UKR,True,False
38,2010-04-10,ISR,BUL,True,False
39,2010-04-14,TPE,SRI,False,True
40,2010-04-14,SGP,MAS,True,False
41,2010-04-17,TPE,MAS,False,True
42,2010-04-17,SGP,SRI,False,True
43,2010-04-17,NED,MLT,True,False
44,2010-04-17,ISR,GRE,True,False
45,2010-04-17,LAT,SWE,True,False
46,2010-04-24,BUL,GRE,True,False
47,2010-04-24,KAZ,AER,True,False
48,2010-04-24,HKG,KOR,True,False
49,2010-04-24,BEL,POL,True,False
50,2010-04-24,MLT,LAT,True,False
51,2010-04-24,SRB,LTU,False,True
52,2010-04-24,DEN,AUT,True,False
53,2010-04-24,CRO,NED,True,False
54,2010-04-24,MDA,UKR,True,False
55,2010-04-30,AER,HKG,True,False
56,2010-05-01,HUN,NOR,True,False
57,2010-05-01,LUX,ISR,False,True
58,2010-05-01,KOR,JPN,False,True
59,2010-05-01,SWE,CRO,True,False
60,2010-05-02,CAY,BER,False,True
61,2010-05-08,AND,SUI,True,False
62,2010-05-08,JPN,AER,True,False
63,2010-05-08,LTU,UKR,False,True
64,2010-05-08,HKG,KAZ,True,False
65,2010-05-13,BRA,URU,False,True
66,2010-05-13,CHI,PAR,True,False
67,2010-05-14,AER,KOR,True,False
68,2010-05-14,LIB,JOR,True,False
69,2010-05-15,JPN,KAZ,True,False
70,2010-05-15,SLO,DEN,True,False
71,2010-05-15,AUT,HUN,True,False
72,2010-05-16,PAR,URU,False,True
73,2010-05-16,CHI,BRA,True,False
74,2010-05-19,PAR,BRA,False,True
75,2010-05-19,CHI,URU,False,True
76,2010-05-21,ARG,URU,True,False
77,2010-05-22,UKR,ROU,False,True
78,2010-05-22,NOR,SLO,False,True
79,2010-05-22,KOR,KAZ,False,True
80,2010-05-22,JPN,HKG,True,False
81,2010-05-23,ARG,CHI,True,False
82,2010-05-30,ENG,BNS,True,False
83,2010-06-02,CHN,IND,False,True
84,2010-06-02,THA,PHI,False,True
85,2010-06-04,IRE,BNS,False,True
86,2010-06-05,USA,RUS,True,False
87,2010-06-05,IND,PHI,False,True
88,2010-06-05,CAN,URU,True,False
89,2010-06-05,ROU,UKR,True,False
90,2010-06-05,CHN,THA,False,True
91,2010-06-05,WAL,RSA,False,True
92,2010-06-05,AUS,FIJ,True,False
93,2010-06-09,MGL,JOR,False,True
94,2010-06-09,GUM,IRI,False,True
95,2010-06-09,PAK,INA,True,False
96,2010-06-09,ENG,RUS,True,False
97,2010-06-09,FRA,URU,True,False
98,2010-06-11,ArJ,ItA,False,True
99,2010-06-11,SCA,GEO,False,True
100,2010-06-11,NAM,ROU,True,False
101,2010-06-12,SAM,TGA,True,False
102,2010-06-12,GUM,INA,True,False
103,2010-06-12,IRI,PAK,True,False
104,2010-06-12,FIN,ISR,False,True
105,2010-06-12,ARG,SCO,False,True
106,2010-06-12,JOR,UZB,True,False
107,2010-06-12,RSA,FRA,True,False
108,2010-06-12,AUS,ENG,True,False
109,2010-06-12,NZL,IRE,True,False
110,2010-06-12,FIJ,JPN,True,False
111,2010-06-12,KEN,ZIM,True,False
112,2010-06-13,USA,ENG,False,True
113,2010-06-13,CAN,FRA,True,False
114,2010-06-15,ItA,GEO,True,False
115,2010-06-15,SCA,NAM,False,True
116,2010-06-15,MAR,CIV,True,False
117,2010-06-15,ROU,ArJ,True,False
118,2010-06-15,TUN,SEN,True,False
119,2010-06-16,KEN,MRI,True,False
120,2010-06-16,UGA,TAN,True,False
121,2010-06-18,ARA,FRA,False,True
122,2010-06-18,MAB,IRE,True,False
123,2010-06-19,KEN,UGA,True,False
124,2010-06-19,RSA,ITA,True,False
125,2010-06-19,AUS,ENG,False,True
126,2010-06-19,NZL,WAL,True,False
127,2010-06-19,ARG,SCO,False,True
128,2010-06-19,UGA,ZIM,True,False
