,IRE,RSA,FRA,NZL,SCO,ENG,WAL,FIJ,AUS,ARG,SAM,ITA,GEO,JPN,TGA,POR,URU,USA,ROU,ESP,NAM,CHI,CAN,HKG,RUS,BRA,NED,SUI,BEL,KOR,ZIM,GER,KEN,POL,CZE,UKR,TUN,PAR,SWE,PHI,CRO,UGA,COL,MAD,MLT,SRI,MAR,CIV,MEX,TTO,LTU,MAS,COK,CAY,SGP,SEN,MDA,GUY,BUL,UAE,LAT,ISR,KAZ,LUX,TPE,JAM,BER,ZAM,NGR,HUN,SRB,FIN,DEN,GUM,PER,ALG,BOT,VEN,THA,SLO,VIN,CHN,BAR,PNG,GHA,IND,AUT,AND,UZB,BUR,MRI,BIH,PAK,LAO,IRI,RWA,CRC,NIU,BAH,BDI,SWZ,NOR,SOL,CMR,INA,MON,GRE,VAN,ASA
IRE,0.5,0.5385549027557572,0.7742174697661881,0.9841934110805454,0.999774234071317,0.9998121471349758,0.9999857228534446,0.9999858032938694,0.9999972989745619,0.9999993431802925,0.9999998377191973,0.9999999069359378,0.9999999748173021,0.9999999912222172,0.9999999995539386,0.9999999999170961,0.9999999999885554,0.9999999999923557,0.9999999999985565,0.9999999999991322,0.9999999999999238,0.9999999999999754,0.999999999999976,0.9999999999999876,0.9999999999999978,0.9999999999999996,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSA,0.46144509724424276,0.5,0.7460687431741059,0.9816006495903453,0.9997365173850886,0.9997807628549001,0.999983337109926,0.9999834309919056,0.9999968476209969,0.9999992334224873,0.999999810601261,0.9999998913844648,0.9999999706091462,0.9999999897554054,0.9999999994793995,0.9999999999032423,0.9999999999866429,0.9999999999910782,0.9999999999983151,0.999999999998987,0.9999999999999112,0.9999999999999711,0.999999999999972,0.9999999999999856,0.9999999999999976,0.9999999999999996,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FRA,0.22578253023381187,0.253931256825894,0.5,0.9478026727484883,0.9992262637704068,0.9993561386886878,0.9999510447821333,0.999951320596542,0.9999907381347957,0.9999977477421297,0.9999994435327534,0.9999996808796218,0.999999913647511,0.9999999699006266,0.9999999984704375,0.9999999997157187,0.9999999999607556,0.9999999999737876,0.9999999999950497,0.9999999999970242,0.9999999999997393,0.9999999999999152,0.9999999999999181,0.9999999999999576,0.9999999999999925,0.9999999999999987,0.9999999999999991,0.9999999999999993,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NZL,0.015806588919454717,0.01839935040965473,0.05219732725151168,0.5,0.986134519727829,0.9884364689941733,0.9991118138293077,0.9991168137069775,0.9998318491338529,0.9999591049264229,0.9999898957257836,0.9999942054218647,0.9999984320078658,0.9999994534537825,0.9999999722260998,0.9999999948380016,0.9999999992873982,0.9999999995240325,0.9999999999101141,0.999999999945963,0.9999999999952647,0.9999999999984617,0.9999999999985116,0.99999999999923,0.9999999999998643,0.9999999999999756,0.9999999999999853,0.9999999999999869,0.9999999999999958,0.9999999999999987,0.9999999999999996,0.9999999999999996,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SCO,0.0002257659286829634,0.0002634826149114991,0.0007737362295930775,0.013865480272170976,0.5,0.5458403253560986,0.9405343953445302,0.9408496236149185,0.9881802159775348,0.9970997954719686,0.9992818771139186,0.9995880479779707,0.9998884942210315,0.999961130272713,0.9999980246808681,0.9999996328707839,0.9999999493186617,0.9999999661484607,0.9999999936071697,0.9999999961568009,0.9999999996632094,0.9999999998905953,0.9999999998941398,0.9999999999452325,0.9999999999903566,0.9999999999982554,0.9999999999989586,0.9999999999990692,0.9999999999997027,0.9999999999999036,0.9999999999999654,0.9999999999999691,0.9999999999999818,0.9999999999999858,0.9999999999999933,0.9999999999999984,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999996,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENG,0.00018785286502426884,0.00021923714509991592,0.0006438613113122649,0.011563531005826721,0.4541596746439013,0.5,0.9293779124716119,0.9297478640158191,0.9858279858899258,0.9965163743038326,0.9991370356378141,0.9995049289040202,0.9998659877041667,0.9999532840555948,0.9999976259265896,0.9999995587588968,0.9999999390876831,0.9999999593148928,0.999999992316657,0.9999999953809791,0.9999999995952218,0.9999999998685098,0.99999999987277,0.9999999999341767,0.9999999999884097,0.9999999999979035,0.9999999999987483,0.9999999999988813,0.9999999999996427,0.9999999999998841,0.9999999999999583,0.9999999999999627,0.999999999999978,0.9999999999999829,0.999999999999992,0.9999999999999982,0.9999999999999991,0.9999999999999991,0.9999999999999993,0.9999999999999996,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WAL,1.4277146555500397e-05,1.6662890073894384e-05,4.8955217866802285e-05,0.0008881861706923584,0.05946560465546972,0.070622087528388,0.5,0.5014125515625537,0.8409134301458915,0.9560189742429689,0.9887614284248417,0.9935239118524567,0.9982392840236834,0.9993855729973598,0.999968758390276,0.9999941933529645,0.9999991984020609,0.9999994645893,0.9999998988881689,0.9999999392142599,0.999999994673169,0.9999999982696071,0.9999999983256682,0.9999999991337734,0.9999999998474747,0.9999999999724083,0.9999999999835287,0.9999999999852793,0.9999999999952978,0.9999999999984759,0.9999999999994518,0.9999999999995104,0.9999999999997109,0.9999999999997746,0.999999999999895,0.999999999999976,0.9999999999999887,0.9999999999999893,0.9999999999999911,0.9999999999999947,0.999999999999996,0.9999999999999969,0.9999999999999971,0.9999999999999978,0.9999999999999982,0.9999999999999982,0.9999999999999987,0.9999999999999989,0.9999999999999993,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FIJ,1.4196706130524825e-05,1.6569008094477325e-05,4.867940345804632e-05,0.0008831862930224394,0.0591503763850815,0.07025213598418097,0.4985874484374463,0.5,0.8401560978698134,0.9557807880324526,0.9886984679577521,0.9934874559290074,0.9982293250956676,0.9993820936737692,0.9999685813741948,0.9999941604514526,0.9999991938600391,0.99999946155555,0.9999998983152477,0.9999999388698351,0.9999999946429861,0.9999999982598025,0.9999999983161811,0.9999999991288651,0.9999999998466105,0.999999999972252,0.9999999999834353,0.9999999999851958,0.9999999999952711,0.9999999999984672,0.9999999999994487,0.9999999999995075,0.9999999999997091,0.9999999999997735,0.9999999999998945,0.9999999999999758,0.9999999999999887,0.9999999999999893,0.9999999999999911,0.9999999999999947,0.999999999999996,0.9999999999999969,0.9999999999999971,0.9999999999999978,0.9999999999999982,0.9999999999999982,0.9999999999999987,0.9999999999999989,0.9999999999999993,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUS,2.701025438100683e-06,3.1523790030078823e-06,9.261865204335507e-06,0.000168150866147164,0.011819784022465083,0.014172014110074205,0.15908656985410846,0.15984390213018662,0.5,0.8043928177171638,0.9433241154066155,0.9666926104167685,0.9907627628312557,0.9967607392243111,0.9998348825297301,0.9999693074911028,0.9999957628594456,0.9999971698867129,0.9999994655346461,0.9999996786936076,0.999999971842981,0.9999999908533413,0.9999999911496741,0.9999999954212246,0.9999999991937683,0.9999999998541533,0.9999999999129343,0.9999999999221878,0.9999999999751443,0.9999999999919433,0.9999999999971017,0.9999999999974114,0.9999999999984714,0.9999999999988092,0.9999999999994451,0.9999999999998734,0.9999999999999405,0.9999999999999434,0.9999999999999531,0.999999999999972,0.9999999999999789,0.9999999999999838,0.9999999999999845,0.9999999999999887,0.9999999999999902,0.9999999999999905,0.9999999999999936,0.999999999999994,0.999999999999996,0.9999999999999971,0.9999999999999976,0.999999999999998,0.999999999999998,0.9999999999999991,0.9999999999999993,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARG,6.568197075143857e-07,7.665775126790623e-07,2.2522578704514557e-06,4.089507357715994e-05,0.00290020452803134,0.0034836256961674754,0.043981025757031084,0.04421921196754747,0.1956071822828362,0.5,0.8018793343171348,0.8758954121285786,0.9630753757353869,0.9868121840110486,0.9993213383794352,0.9998737956588382,0.9999825758929494,0.999988361865228,0.9999978021288799,0.9999986786973113,0.9999998842102747,0.9999999623863179,0.9999999636049235,0.9999999811707633,0.9999999966845439,0.9999999994002366,0.9999999996419606,0.9999999996800142,0.999999999897786,0.9999999999668692,0.9999999999880809,0.9999999999893552,0.9999999999937139,0.9999999999951033,0.9999999999977183,0.9999999999994791,0.9999999999997549,0.9999999999997673,0.9999999999998075,0.9999999999998845,0.999999999999913,0.9999999999999332,0.999999999999936,0.9999999999999531,0.9999999999999594,0.9999999999999605,0.9999999999999734,0.9999999999999756,0.999999999999984,0.9999999999999882,0.9999999999999896,0.9999999999999918,0.9999999999999922,0.9999999999999962,0.9999999999999973,0.9999999999999989,0.9999999999999991,0.9999999999999991,0.9999999999999996,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
