,RSA,NZL,IRE,FRA,ENG,SCO,ARG,WAL,AUS,FIJ,ITA,JPN,POR,GEO,SAM,TGA,URU,USA,ESP,ROU,NAM,CHI,CAN,HKG,RUS,BRA,NED,SUI,BEL,KOR,ZIM,GER,KEN,POL,CZE,UKR,TUN,PAR,SWE,PHI,CRO,UGA,COL,MAD,MLT,SRI,MAR,CIV,MEX,TTO,LTU,MAS,COK,CAY,SGP,SEN,MDA,GUY,BUL,UAE,LUX,LAT,ISR,KAZ,TPE,JAM,BER,ZAM,NGR,HUN,FIN,SLO,SRB,GUM,PER,ALG,BOT,DEN,VEN,THA,VIN,CHN,BAR,PNG,GHA,IND,AUT,AND,UZB,BUR,MRI,PAK,BIH,,QAT,LAO,IRI,TUR,RWA,CRC,NIU,BAH,BDI,SWZ,NOR,SOL,CMR,INA,MON,GRE,VAN,ASA
RSA,0.5,0.8272046994229054,0.870529698474356,0.9906704546591649,0.9997861431798941,0.9998826735541362,0.9999177520951192,0.9999927512120399,0.9999996945042245,0.9999998978708711,0.9999999347917377,0.9999999876189613,0.9999999972189035,0.9999999974810605,0.9999999983920604,0.9999999991663477,0.9999999999873082,0.9999999999960278,0.999999999999549,0.9999999999997915,0.9999999999999862,0.9999999999999871,0.9999999999999876,0.9999999999999936,0.9999999999999989,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NZL,0.17279530057709458,0.5,0.5841190631762169,0.9568618444772984,0.9989770543247031,0.9994385849506433,0.9996063858947535,0.9999652995953121,0.9999985375340187,0.9999995110881922,0.9999996878354471,0.9999999407295637,0.9999999866863509,0.9999999879413469,0.9999999923024813,0.9999999960091444,0.9999999999392419,0.9999999999809845,0.9999999999978411,0.9999999999990015,0.9999999999999343,0.9999999999999385,0.9999999999999405,0.9999999999999691,0.9999999999999947,0.9999999999999991,0.9999999999999993,0.9999999999999996,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IRE,0.12947030152564412,0.4158809368237832,0.5,0.9404501745935656,0.9985638319664666,0.9992116523189728,0.9994472434823981,0.9999512627736478,0.9999979459175019,0.9999993133067054,0.9999995615542164,0.9999999167526379,0.9999999813005224,0.9999999830632077,0.9999999891885704,0.999999994394706,0.9999999999146634,0.9999999999732923,0.9999999999969678,0.9999999999985976,0.9999999999999076,0.9999999999999136,0.9999999999999165,0.9999999999999567,0.9999999999999925,0.9999999999999987,0.9999999999999991,0.9999999999999993,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FRA,0.009329545340835067,0.04313815552270175,0.05954982540643429,0.5,0.977790912277009,0.9876934092321891,0.9913413038890367,0.9992308640422933,0.9999675615581528,0.9999891553961028,0.999993075819508,0.9999986853042921,0.999999704685582,0.9999997325230545,0.9999998292587907,0.9999999114775037,0.9999999986523072,0.9999999995782123,0.9999999999521141,0.9999999999778533,0.9999999999985418,0.9999999999986369,0.999999999998681,0.9999999999993177,0.9999999999998799,0.9999999999999782,0.9999999999999871,0.9999999999999885,0.9999999999999962,0.9999999999999989,0.9999999999999996,0.9999999999999996,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENG,0.00021385682010599213,0.0010229456752969034,0.0014361680335335416,0.022209087722990968,0.5,0.6457576710855051,0.7222601358522497,0.9672222724475293,0.998573835792141,0.9995227714980511,0.9996952425790727,0.9999421216747388,0.9999869984715806,0.9999882240315341,0.9999924828980578,0.9999961026691434,0.9999999406656552,0.9999999814301109,0.999999997891742,0.9999999990249562,0.9999999999358002,0.999999999939984,0.9999999999419285,0.9999999999699563,0.9999999999947098,0.999999999999043,0.9999999999994287,0.9999999999994895,0.999999999999837,0.9999999999999472,0.9999999999999809,0.9999999999999831,0.99999999999999,0.9999999999999922,0.9999999999999964,0.9999999999999991,0.9999999999999996,0.9999999999999996,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SCO,0.00011732644586375631,0.0005614150493565864,0.0007883476810271249,0.012306590767811052,0.3542423289144949,0.5,0.587891889483238,0.9418179984285366,0.9974032553169946,0.9991303891119758,0.999444588964121,0.9998944971015963,0.9999762994250018,0.9999785334849658,0.9999862969616582,0.9999928954757228,0.9999998918378655,0.9999999661484607,0.9999999961568009,0.9999999982225671,0.9999999998829685,0.9999999998905953,0.9999999998941398,0.9999999999452325,0.9999999999903566,0.9999999999982554,0.9999999999989586,0.9999999999990692,0.9999999999997027,0.9999999999999036,0.9999999999999654,0.9999999999999691,0.9999999999999818,0.9999999999999858,0.9999999999999933,0.9999999999999984,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999996,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARG,8.224790488082449e-05,0.0003936141052464537,0.0005527565176017389,0.008658696110963206,0.27773986414775026,0.41210811051676194,0.5,0.9190105454877989,0.9962997183311489,0.9987599185459896,0.9992078673112839,0.9998495018525175,0.999966190340338,0.9999693772721084,0.9999804520760198,0.9999898650877342,0.9999998457015595,0.9999999517091643,0.9999999945174929,0.9999999974644072,0.9999999998330491,0.9999999998439291,0.9999999998489855,0.9999999999218716,0.9999999999862432,0.9999999999975113,0.9999999999985143,0.9999999999986722,0.9999999999995759,0.9999999999998626,0.9999999999999505,0.9999999999999558,0.999999999999974,0.9999999999999796,0.9999999999999905,0.9999999999999978,0.9999999999999989,0.9999999999999991,0.9999999999999991,0.9999999999999996,0.9999999999999996,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WAL,7.248787960007132e-06,3.470040468792525e-05,4.873722635227907e-05,0.0007691359577067082,0.032777727552470694,0.058182001571463485,0.0809894545122012,0.5,0.9595601977748707,0.986106711855354,0.9910845184845993,0.9982949096473219,0.9996164862724198,0.999652625202496,0.9997782289628951,0.9998850083057069,0.999998249134183,0.9999994520303243,0.9999999377884256,0.9999999712279019,0.9999999981055594,0.9999999982290178,0.9999999982863941,0.9999999991134545,0.9999999998438969,0.999999999971761,0.9999999999831424,0.999999999984934,0.9999999999951874,0.9999999999984401,0.9999999999994389,0.9999999999994988,0.999999999999704,0.9999999999997695,0.9999999999998925,0.9999999999999756,0.9999999999999885,0.9999999999999891,0.9999999999999909,0.9999999999999947,0.999999999999996,0.9999999999999969,0.9999999999999969,0.9999999999999978,0.999999999999998,0.9999999999999982,0.9999999999999987,0.9999999999999989,0.9999999999999993,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUS,3.054957755883005e-07,1.462465981431908e-06,2.0540824980669603e-06,3.243844184720615e-05,0.001426164207859034,0.0025967446830054883,0.0037002816688509283,0.04043980222512923,0.5,0.7494532049578736,0.824096198621749,0.9610508391680381,0.9909785785378021,0.9918220181309509,0.9947641825755232,0.9972785766415518,0.9999584569111691,0.9999869978755342,0.9999985238388175,0.9999993172928523,0.9999999550485004,0.9999999579779364,0.9999999593393641,0.9999999789639475,0.9999999962959674,0.9999999993299435,0.9999999995999977,0.9999999996425115,0.9999999998858065,0.999999999962986,0.9999999999866838,0.9999999999881075,0.9999999999929772,0.9999999999945295,0.9999999999974507,0.999999999999418,0.999999999999726,0.99999999999974,0.9999999999997848,0.999999999999871,0.9999999999999027,0.9999999999999252,0.9999999999999285,0.9999999999999478,0.9999999999999547,0.9999999999999558,0.99999999999997,0.9999999999999729,0.999999999999982,0.9999999999999869,0.9999999999999885,0.9999999999999909,0.9999999999999913,0.9999999999999958,0.9999999999999969,0.9999999999999987,0.9999999999999989,0.9999999999999991,0.9999999999999993,0.9999999999999996,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FIJ,1.0212912898644339e-07,4.889118077132067e-07,6.866932944686422e-07,1.0844603897258419e-05,0.0004772285019489668,0.0008696108880241904,0.0012400814540104268,0.013893288144645953,0.25054679504212635,0.5,0.6103186479946157,0.8918782679762192,0.9734907046104756,0.9759294241767321,0.984499857829869,0.9919033633369748,0.9998757436681156,0.9999611081372441,0.9999955844157689,0.9999979578411125,0.9999998655379231,0.9999998743006564,0.9999998783730547,0.9999999370754822,0.9999999889202368,0.99999999799568,0.9999999988034853,0.9999999989306549,0.9999999996584161,0.9999999998892812,0.9999999999601679,0.9999999999644267,0.999999999978993,0.999999999983636,0.9999999999923745,0.9999999999982592,0.9999999999991807,0.9999999999992226,0.9999999999993565,0.9999999999996143,0.9999999999997091,0.9999999999997764,0.9999999999997862,0.9999999999998437,0.9999999999998643,0.9999999999998677,0.9999999999999105,0.9999999999999187,0.9999999999999465,0.9999999999999607,0.9999999999999654,0.9999999999999729,0.9999999999999738,0.9999999999999876,0.9999999999999909,0.999999999999996,0.9999999999999964,0.9999999999999971,0.9999999999999982,0.9999999999999989,0.9999999999999993,0.9999999999999993,0.9999999999999996,0.9999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
